id,name,bbx1,bby1,bbx2,bby2,group,distance(km),Dateiname,duration,duration_in_motion(min),max_speed(km/h),elevation_climbed,max_height,avg_speed,avg_speed_in_motion,bbox_perimeter,start_end_gap,filename,max_asc,avg_watt,calories,TrackUrl,year,MonthName,Day,Hour
2782420594,Radfahrt am Morgen,51.305528,7.472772,51.506525,7.698033,Dortmund-Umgebung,87.41,activities/2782420594.gpx,238.51666666666668,234.9333333333333,56.160001373291024,1332.2340087890625,452.2000122070313,21.98998453986444,22.325387964670828,76.01791534894313,0.4252290140846304,2782420594.gpx,27.5,125.15927124023438,1967.13330078125,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2782420594.gpx,2019,Oct,Sat,8
246980275,PhönixGrundlagen80,51.485308,7.476599,51.506578,7.510377,Niere-Phoenix-rides,81.05,activities/279610093.gpx,219.3,214.9,34.919999313354495,425.3090515136719,124.1999969482422,22.176662961696305,22.63072213820381,9.407997492042618,0.0066607525798846,279610093.gpx,11.0,127.3695297241211,1831.17431640625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/279610093.gpx,2015,Jan,Tue,15
247865685,PhönixGrundlagen60,51.485318,7.476552,51.507053,7.508179,Niere-Phoenix-rides,64.14,activities/280583785.gpx,186.6833333333333,178.7,28.8,131.14083862304688,123.5,20.616901811222213,21.53795161233912,9.21352537427162,0.0273227417260229,280583785.gpx,11.600000381469728,116.79781341552734,1396.3236083984375,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/280583785.gpx,2015,Jan,Thu,15
248498766,PhönixGrundlagen70,51.485308,7.467773,51.506586,7.508281,Niere-Phoenix-rides,73.18,activities/281267051.gpx,189.36666666666667,182.71666666666667,32.760001373291026,143.38841247558594,126.8000030517578,23.18875803115649,24.032716295721976,10.341784421206109,1.9504501762470148,281267051.gpx,9.699999809265137,142.24710083007812,1738.791015625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/281267051.gpx,2015,Jan,Sat,9
2817407911,Radfahrt am Nachmittag,51.394677,7.353122,51.506557,7.508228,Dortmund-Umgebung,49.93,activities/2817407911.gpx,227.63333333333333,145.9,64.8,626.9447021484375,254.1000061035156,13.16040164189486,20.53287247258396,46.40358033422191,0.0193059578116018,2817407911.gpx,27.0,98.74478912353516,963.8192749023438,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2817407911.gpx,2019,Oct,Sun,12
2818240452,Möhnesee,51.456142,7.499812,51.506608,8.093908,Dortmund-Umgebung,121.79,activities/2818240452.gpx,304.78333333333336,292.7333333333333,58.320002746582034,945.7432250976562,285.70001220703125,23.975897324602176,24.96283502476657,93.54923295178676,0.0181076156313,2818240452.gpx,21.299999237060547,108.73954010009766,2129.5400390625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2818240452.gpx,2019,Oct,Sat,9
249054031,PhönixGrundlagen60,51.486831,7.47659,51.506626,7.510556,Niere-Phoenix-rides,64.92,activities/281879545.gpx,183.95,173.86666666666667,35.63999862670898,38.49714279174805,124.5,21.17678717042675,22.404927147239263,9.105850636097298,0.0280208992196064,281879545.gpx,10.399999618530272,124.40239715576172,1447.0042724609375,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/281879545.gpx,2015,Feb,Sun,10
250354375,PhönixGrundlagen70,51.486819,7.476582,51.507019,7.510467,Niere-Phoenix-rides,69.87,activities/283284949.gpx,197.6,195.26666666666668,27.71999931335449,37.251426696777344,124.4000015258789,21.2176817117915,21.471221780044385,9.184702805962846,0.0116974820124352,283284949.gpx,10.399999618530272,114.63082885742188,1497.4637451171875,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/283284949.gpx,2015,Feb,Tue,15
251208629,Do-Süd Hügeltout + Phönix,51.394683,7.353074,51.50659,7.539624,Dortmund-Umgebung,101.97,activities/284211725.gpx,306.85,299.3,53.63999862670898,1005.5177612304688,255.3999938964844,19.93939679403617,20.44237857083194,50.772768006276095,0.0304559427185022,284211725.gpx,25.39999961853028,125.90518951416016,2521.017333984375,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/284211725.gpx,2015,Feb,Fri,14
252063959,FeldWege90,51.435874,7.473475,51.506699,7.863912,Dortmund-Umgebung,90.32,activities/285169075.gpx,265.7,249.56666666666663,46.43999862670898,470.2688903808594,223.8000030517578,20.396002305231463,21.714509733538137,69.87918220553777,0.0048353794648976,285169075.gpx,19.299999237060547,122.43743896484376,2044.2093505859373,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/285169075.gpx,2015,Feb,Sun,9
